Stock Count,Total Volume,Actual Comparisons,Theoretical Comparisons,Difference,Time (ms)
252,15537,193136,200792.1818824286,-7656.181882428587,1.049333
253,4535,48364,50552.13179861104,-2188.131798611037,0.279917
254,15537,193875,200792.1818824286,-6917.181882428587,1.022208
255,10972,131828,136290.12488593932,-4462.124885939324,0.720292
256,12938,157753,163787.3726925437,-6034.372692543693,0.885208
257,12758,156411,161250.82359704297,-4839.823597042967,0.833959
258,4491,47857,49998.499141447064,-2141.499141447064,0.273708
259,10081,119892,123990.75879996293,-4098.758799962932,0.666917
260,10641,127720,131708.3400166992,-3988.3400166991923,0.748959
261,9189,107743,111791.54518766953,-4048.5451876695297,0.574875
262,7496,85729,88992.80166149327,-3263.8016614932712,0.48
263,6107,68327,70697.14732895273,-2370.147328952735,0.382541
264,10519,125839,130023.30785201635,-4184.307852016354,0.744375
265,8511,99162,102602.06619825783,-3440.0661982578313,0.564708
266,4985,54137,56248.63827958851,-2111.6382795885074,0.322209
267,10414,124470,128574.70890413804,-4104.708904138039,0.698334
268,10792,129464,133796.7046387777,-4332.704638777708,0.745334
269,5599,61580,64114.888448928046,-2534.8884489280463,0.37175
270,2752,27583,28694.080604940173,-1111.0806049401726,0.172875
271,6640,74607,77668.86437419566,-3061.864374195662,0.405625
272,10972,132072,136290.12488593932,-4218.124885939324,0.720167
273,10972,129991,136290.12488593932,-6299.124885939324,0.726625
274,2124,20385,21352.654539908024,-967.6545399080242,0.121125
275,2857,26881,29943.175161915213,-3062.175161915213,0.133959
276,12175,147894,153060.6457988598,-5166.645798859798,0.80025
277,6418,71904,74757.27402074066,-2853.2740207406605,0.415458
278,3004,30486,31701.217968932877,-1215.2179689328768,0.200083
279,12758,156440,161250.82359704297,-4810.823597042967,0.856541
280,6504,73352,75883.89346965599,-2531.893469655988,0.422667
281,10972,132313,136290.12488593932,-3977.1248859393236,0.735333
282,15537,194213,200792.1818824286,-6579.181882428587,0.9895
283,6499,73102,75818.34721015922,-2716.3472101592197,0.404458
284,15537,192865,200792.1818824286,-7927.181882428587,1.0285
285,12708,151884,160546.8746538591,-8662.874653859093,0.787167
286,7894,90906,94306.99310593215,-3400.9931059321534,0.478
287,5025,54683,56757.912101792106,-2074.912101792106,0.316958
288,7874,90424,94039.24497163028,-3615.24497163028,0.507958
289,12744,156376,161053.68934863855,-4677.6893486385525,0.851084
290,8557,99672,103223.14438397785,-3551.1443839778512,0.533833
291,10972,132056,136290.12488593932,-4234.124885939324,0.741459
292,9660,114458,118218.2201961655,-3760.2201961654937,0.604625
293,12758,156164,161250.82359704297,-5086.823597042967,0.831125
294,10972,131816,136290.12488593932,-4474.124885939324,0.703
295,12938,157255,163787.3726925437,-6532.372692543693,0.860959
296,1090,9427,9909.222537434076,-482.222537434076,0.076667
297,7008,79450,82518.70771368503,-3068.7077136850276,0.445209
298,6137,68260,71087.8217567599,-2827.821756759906,0.378667
299,15537,194221,200792.1818824286,-6571.181882428587,1.061375
300,15537,194569,200792.1818824286,-6223.181882428587,1.01
301,3907,41105,42711.72052549761,-1606.720525497607,0.2375
302,7274,82695,86041.75057285417,-3346.750572854173,0.453917
303,12758,156169,161250.82359704297,-5081.823597042967,0.882042
304,10116,120594,124471.81796994532,-3877.8179699453176,0.641042
305,2811,28246,29395.255212587144,-1149.2552125871443,0.181417
306,4741,51355,53152.23568810085,-1797.2356881008527,0.315084
307,6735,76049,78918.10812140499,-2869.108121404992,0.41825
308,7435,85092,88180.97009529728,-3088.970095297278,0.449208
309,15537,193880,200792.1818824286,-6912.181882428587,1.02425
310,4854,52521,54584.02804035561,-2063.02804035561,0.315875
311,15537,192883,200792.1818824286,-7909.181882428587,0.996458
312,3147,32202,33421.38932500014,-1219.389325000142,0.192958
313,4261,45099,47114.7761684554,-2015.7761684553989,0.283916
314,7631,87608,90792.0160742575,-3184.0160742574953,0.482958
315,12938,159020,163787.3726925437,-4767.372692543693,0.862334
316,5697,62961,65379.69617789012,-2418.696177890117,0.36725
317,5370,58762,61169.0932223268,-2407.093222326803,0.332417
318,10972,131256,136290.12488593932,-5034.124885939324,0.723125
319,10972,131262,136290.12488593932,-5028.124885939324,0.688708
320,10972,132355,136290.12488593932,-3935.1248859393236,0.753458
321,12758,156540,161250.82359704297,-4710.823597042967,0.880833
322,3219,32867,34291.06549709664,-1424.0654970966425,0.187917
323,10972,132270,136290.12488593932,-4020.1248859393236,0.767583
324,9115,107230,110784.955566545,-3554.9555665450025,0.558458
325,5600,61100,64127.78222626106,-3027.782226261057,0.363042
326,12758,156157,161250.82359704297,-5093.823597042967,0.860541
327,10076,120124,123922.0503582542,-3798.0503582542005,0.610375
328,6508,73313,75936.33447015681,-2623.334470156813,0.396042
329,10972,130780,136290.12488593932,-5510.124885939324,0.720625
330,10972,131845,136290.12488593932,-4445.124885939324,0.752542
331,10972,131951,136290.12488593932,-4339.124885939324,0.736709
332,7262,82404,85882.51012187911,-3478.5101218791096,0.461791
333,7450,85631,88380.5340912648,-2749.5340912647953,0.458917
334,10972,132016,136290.12488593932,-4274.124885939324,0.7435
335,10972,130297,136290.12488593932,-5993.124885939324,0.710875
336,10039,119624,123413.71925949492,-3789.7192594949156,0.658834
337,1205,10502,11128.955004496376,-626.9550044963762,0.071583
338,3331,33803,35648.49473642426,-1845.4947364242616,0.205667
339,5091,55551,57599.21648619311,-2048.2164861931087,0.327291
340,10015,119458,123084.09612901122,-3626.0961290112173,0.607666
341,10519,125210,130023.30785201635,-4813.307852016354,0.677125
342,11278,136083,140538.6800722236,-4455.680072223593,0.799792
343,5480,60323,62582.381774606445,-2259.381774606445,0.357
344,7266,82854,85935.5870959189,-3081.587095918905,0.4625
345,12758,156380,161250.82359704297,-4870.823597042967,0.873167
346,10972,132176,136290.12488593932,-4114.124885939324,0.678083
347,6853,77485,80472.48936579489,-2987.489365794885,0.423375
348,10972,131235,136290.12488593932,-5055.124885939324,0.720875
349,6012,66843,69461.4193150252,-2618.419315025196,0.381458
350,10972,132317,136290.12488593932,-3973.1248859393236,0.81775
351,7126,81071,84079.7958497179,-3008.795849717906,0.455416
352,12588,153832,158858.55730000057,-5026.557300000568,0.824709
353,4806,51167,53975.364204622136,-2808.3642046221357,0.30225
354,10743,128880,133118.68725331977,-4238.687253319775,0.656042
355,2340,22901,23850.965185861594,-949.9651858615944,0.136667
356,10100,120357,124251.88349251784,-3894.883492517838,0.674541
357,10972,131833,136290.12488593932,-4457.124885939324,0.727791
358,7143,81405,84304.93180199721,-2899.9318019972125,0.456292
359,5824,64602,67022.39598451722,-2420.395984517221,0.374875
360,2854,28602,29907.408493983832,-1305.4084939838322,0.181875
361,4527,48184,50451.42532957897,-2267.4253295789676,0.277958
362,7167,81670,84622.87013198507,-2952.870131985066,0.46125
363,7464,85688,88566.83313363753,-2878.8331336375268,0.445
364,12758,156286,161250.82359704297,-4964.823597042967,0.822
365,1142,10047,10458.690200184368,-411.6902001843682,0.064542
366,7033,80095,82849.2090223403,-2754.2090223403065,0.449709
367,2266,21988,22991.68224242929,-1003.6822424292914,0.119625
368,6115,68401,70801.3064305812,-2400.3064305812004,0.388583
369,10972,132337,136290.12488593932,-3953.1248859393236,0.749291
370,12758,156578,161250.82359704297,-4672.823597042967,0.79375
371,4751,51490,53278.78759969292,-1788.7875996929215,0.312
372,6350,71412,73867.63456607275,-2455.634566072753,0.397917
373,10519,125898,130023.30785201635,-4125.307852016354,0.728541
374,7659,87879,91165.61993483946,-3286.6199348394584,0.468916
375,7067,79835,83298.89646262843,-3463.8964626284287,0.427542
376,7656,87381,91125.58387650501,-3744.583876505014,0.475
377,6573,74059,76788.9963008129,-2729.996300812898,0.400167
378,7952,91749,95083.8754345033,-3334.875434503294,0.505583
379,4806,51013,53975.364204622136,-2962.3642046221357,0.310208
380,2924,29491,30743.13949056492,-1252.1394905649213,0.199375
381,10971,132505,136276.26071773795,-3771.260717737954,0.719417
382,6546,73775,76434.70056859501,-2659.7005685950135,0.417833
383,10972,132247,136290.12488593932,-4043.1248859393236,0.728542
384,4467,47686,49696.77943906765,-2010.77943906765,0.300416
385,12938,158279,163787.3726925437,-5508.372692543693,0.8325
386,3556,36777,38391.716848998665,-1614.7168489986652,0.227583
387,10972,132023,136290.12488593932,-4267.124885939324,0.75975
388,8181,94500,98157.14101399155,-3657.1410139915533,0.519583
389,12709,155231,160560.95085503644,-5329.950855036441,0.87825
390,10972,132117,136290.12488593932,-4173.124885939324,0.743959
391,10039,119007,123413.71925949492,-4406.719259494916,0.63375
392,9068,105980,110146.08475161745,-4166.0847516174545,0.56425
393,4238,44824,46827.37344311326,-2003.3734431132616,0.260375
394,10149,120814,124925.54806956623,-4111.548069566226,0.644292
395,4097,43164,45069.442871136795,-1905.4428711367946,0.265875
396,9535,112854,116509.32922321312,-3655.3292232131207,0.630333
397,10972,132001,136290.12488593932,-4289.124885939324,0.748459
398,5885,65465,67812.83512906337,-2347.8351290633727,0.374
399,10972,131942,136290.12488593932,-4348.124885939324,0.747917
400,6348,71227,73841.48454867773,-2614.484548677734,0.401334
401,12297,149888,154771.27288055193,-4883.272880551929,0.834041
402,884,7387,7769.5058625020265,-382.5058625020265,0.053834
403,8357,96888,100525.42604731416,-3637.426047314162,0.549667
404,8002,92301,95754.09159659152,-3453.091596591519,0.536459
405,3374,34725,36171.10412746225,-1446.1041274622476,0.205458
406,10972,131687,136290.12488593932,-4603.124885939324,0.746916
407,10972,131789,136290.12488593932,-4501.124885939324,0.713167
408,9607,113661,117493.36370586354,-3832.363705863536,0.625458
409,11024,132370,137011.24254389212,-4641.24254389212,0.751708
410,1726,16088,16835.052109082877,-747.052109082877,0.100625
411,7701,87744,91726.30245606492,-3982.302456064921,0.467458
412,12758,156219,161250.82359704297,-5031.823597042967,0.835583
413,10833,130151,134364.2720130209,-4213.272013020905,0.702875
414,12708,155330,160546.8746538591,-5216.874653859093,0.820458
415,10972,131819,136290.12488593932,-4471.124885939324,0.702833
416,2302,22360,23409.2832159404,-1049.2832159403988,0.133625
417,10972,132319,136290.12488593932,-3971.1248859393236,0.7205
418,1733,16096,16913.443942564576,-817.443942564576,0.1045
419,7927,91533,94748.93726239757,-3215.937262397565,0.546666
420,10971,130964,136276.26071773795,-5312.260717737954,0.685167
421,4126,43317,45430.43896488763,-2113.4389648876313,0.256541
422,11184,134062,139232.27844987888,-5170.278449878882,0.718583
423,12758,156390,161250.82359704297,-4860.823597042967,0.8535
424,10972,131971,136290.12488593932,-4319.124885939324,0.74825
425,10811,129910,134059.69577801507,-4149.69577801507,0.736083
426,12758,156184,161250.82359704297,-5066.823597042967,0.849459
427,7597,87302,90338.55356256658,-3036.55356256658,0.466459
428,5516,60689,63045.60758619111,-2356.6075861911086,0.359334
429,2687,26390,27923.714488357382,-1533.714488357382,0.159791
430,10972,131700,136290.12488593932,-4590.124885939324,0.693583
431,10139,120669,124788.03772944008,-4119.037729440082,0.677125
432,10972,130414,136290.12488593932,-5876.124885939324,0.724792
433,9811,116150,120285.66990704711,-4135.669907047108,0.643041
434,5480,60227,62582.381774606445,-2355.381774606445,0.352292
435,10972,132074,136290.12488593932,-4216.124885939324,0.739833
436,5605,61771,64192.25497636809,-2421.2549763680872,0.361125
437,10519,125612,130023.30785201635,-4411.307852016354,0.717875
438,7582,86840,90138.56630355582,-3298.5663035558246,0.471791
439,7021,79713,82690.55236575456,-2977.5523657545564,0.444833
440,12792,142699,161729.67042676042,-19030.670426760422,0.741916
441,4361,45450,48366.42312263089,-2916.423122630891,0.271042
442,15537,193951,200792.1818824286,-6841.181882428587,1.017375
443,1440,13089,13669.268458714734,-580.2684587147342,0.088667
444,7283,82890,86161.19965640776,-3271.1996564077563,0.419875
445,2583,25649,26695.870870328796,-1046.8708703287957,0.162958
446,6654,75083,77852.8409279746,-2769.8409279745974,0.420375
447,8121,93882,97351.01382591424,-3469.0138259142404,0.506833
448,10519,125502,130023.30785201635,-4521.307852016354,0.746833
449,10971,132004,136276.26071773795,-4272.260717737954,0.756084
450,12758,156290,161250.82359704297,-4960.823597042967,0.921459
451,10749,128257,133201.69249618892,-4944.692496188916,0.6955
452,12758,156237,161250.82359704297,-5013.823597042967,0.841917
453,884,7404,7769.5058625020265,-365.5058625020265,0.050209
454,421,3105,3250.1417741109526,-145.1417741109526,0.025375
455,5995,66858,69240.516509618,-2382.516509617999,0.38825
456,12708,152801,160546.8746538591,-7745.874653859093,0.82675
457,10972,132011,136290.12488593932,-4279.124885939324,0.762834
458,5731,63617,65819.07743782847,-2202.0774378284696,0.375083
459,6472,72911,75464.49341580682,-2553.493415806821,0.39725
460,4091,43055,44994.79092934399,-1939.790929343988,0.25575
461,2460,24187,25251.528796557443,-1064.5287965574425,0.152458
462,7187,81822,84887.90732757414,-3065.9073275741393,0.448
463,7886,90908,94199.88506942026,-3291.8850694202556,0.508292
464,10972,131770,136290.12488593932,-4520.124885939324,0.760833
465,4136,43716,45554.98866522257,-1838.9886652225687,0.25125
466,12878,157877,162941.45239627027,-5064.452396270266,0.877666
467,7006,79682,82492.27316125126,-2810.273161251258,0.435125
468,8016,92398,95941.83301425278,-3543.833014252785,0.480166
469,10564,126257,130644.59974426916,-4387.599744269159,0.713292
470,11781,142491,147548.2984106888,-5057.298410688789,0.794125
471,9040,103948,109765.64779801505,-5817.647798015052,0.562833
472,2246,21780,22760.03740905175,-980.0374090517507,0.132458
473,12938,158381,163787.3726925437,-5406.372692543693,0.862
474,10801,128707,133921.27337845467,-5214.273378454673,0.688333
475,5262,57556,59784.66329551891,-2228.6632955189125,0.331375
476,10972,132141,136290.12488593932,-4149.124885939324,0.736167
477,10972,131811,136290.12488593932,-4479.124885939324,0.718333
478,10972,132003,136290.12488593932,-4287.124885939324,0.72825
479,5950,66466,68656.11002084188,-2190.1100208418793,0.382042
480,7116,81009,83947.39025912111,-2938.390259121108,0.426
481,6356,71177,73946.0900698192,-2769.090069819198,0.414042
482,10972,131950,136290.12488593932,-4340.124885939324,0.74375
483,5848,64977,67333.27898112987,-2356.2789811298717,0.378833
484,9907,117180,121601.82174197782,-4421.821741977823,0.628708
485,12065,146581,151519.7886604191,-4938.788660419086,0.809417
486,6889,77702,80947.29328509794,-3245.2932850979414,0.414667
487,10972,132022,136290.12488593932,-4268.124885939324,0.765459
488,15537,193901,200792.1818824286,-6891.181882428587,1.023791
489,10457,125096,129167.76086757041,-4071.7608675704105,0.713125
490,1136,9866,10395.11272775732,-529.1127277573196,0.067417
491,2577,25596,26625.21576993224,-1029.2157699322415,0.156042
492,12758,156335,161250.82359704297,-4915.823597042967,0.817708
493,15537,194185,200792.1818824286,-6607.181882428587,0.9875
494,8882,103603,107621.25277869988,-4018.2527786998835,0.560125
495,10972,132030,136290.12488593932,-4260.124885939324,0.756166
496,4846,52429,54482.53632908123,-2053.536329081231,0.316375
497,10972,132131,136290.12488593932,-4159.124885939324,0.741291
498,7008,79466,82518.70771368503,-3052.7077136850276,0.43925
499,8643,101102,104385.2460417497,-3283.246041749706,0.564792
500,7581,87078,90125.23534091742,-3047.2353409174248,0.477833
501,9926,118034,121862.46963426322,-3828.4696342632233,0.633667
502,6032,67182,69721.39374243659,-2539.3937424365868,0.376
503,10972,132190,136290.12488593932,-4100.124885939324,0.754083
